omega,psi,radius,state,pop,incl_mean,incl_std,incl_25,incl_50,incl_75,phi_mean,phi_std,phi_25,phi_50,phi_75,mean,std,25,50,75
30.0,0.3,0.5,solved,0,-0.008196181908838,15.880973358226015,-10.017193303928082,-0.047751179694266455,9.975257134632212,-0.893770509127388,16.319738046184227,-10.795789498264682,-1.2717056060643017,9.26143649242421,19.5297673941066,11.314966863018753,11.109193480614072,17.666353653974152,25.92442911651768
30.0,0.3,0.5,solved,1,0.042468775975079906,15.13751571382274,-9.013289607237194,-0.022002146774859455,9.142666186173262,30.14885778513967,13.435731307570983,22.44689296051871,30.626904902527542,38.256038917133075,17.01974209039535,10.662461330400758,9.070416261737348,14.841761167182224,22.806453557034743
30.0,0.6,0.5,solved,0,0.007336008891641929,15.572909091819966,-9.533666683076678,0.03350744432206909,9.507893130546993,-0.3004607728493059,14.111062320107786,-8.831809724697337,-0.7901358639248883,7.934718749066664,17.7903399091892,10.86245665748852,9.656274759660901,15.73679195720917,23.84470940514951
30.0,0.6,0.5,solved,1,0.023477999083973886,16.01695415631161,-10.056119299605559,-0.007010192080898037,10.072492539698676,30.850613537838832,15.607562886743613,21.23716422906837,31.358665486649862,40.38881606933962,19.163009147696833,11.153606114342855,10.825779721899039,17.31040138627524,25.535506649773616
30.0,0.9,0.5,solved,0,-0.004704368668923865,12.00599057526732,-6.24041960811709,0.0359109054283806,6.265729082655081,0.1225723558757169,10.642897870660107,-5.642064553621317,0.023832862064360482,5.728745938457598,12.873791671249096,9.398819389259966,6.138188323398383,10.458192906393581,17.062068872263186
30.0,0.9,0.5,solved,1,-0.0948144379075105,15.033701319902097,-9.120179609586629,-0.2335163874631121,8.965378276045868,31.79456276769077,18.051494568176313,19.70697715125499,30.847620472867746,42.263451374477114,20.068218900190864,11.774264942147529,11.356092724337637,18.08489588619655,26.505213007038506
60.0,0.3,0.5,solved,0,-0.01373942324322179,18.38459726300466,-11.401194890147707,0.12312467538012584,11.398318669048109,-0.510319749363766,16.049204190587034,-9.152881149393806,-1.222785078347897,7.481388515696949,20.261825751415838,13.083048012086023,10.563377770539113,17.4045648113507,27.124788229643368
60.0,0.3,0.5,solved,1,-0.24386701626733331,17.48236759364553,-9.716065983058552,-0.20581727835870822,9.273966054651748,59.8241461323154,13.404347808387094,53.139864596880905,60.428099555871434,67.34309266333389,17.773141261716678,12.591600316619033,8.611136324439089,14.556176606643557,23.632155493644703
60.0,0.6,0.5,solved,0,-0.012951979448114815,17.9314158541288,-9.99520056397693,0.07757291401561872,10.075625385572003,-0.2494157908290674,13.785971958308584,-8.009778191360283,-0.872787676673795,6.74370681578956,18.38532241974465,12.72187560949274,9.106409285651846,15.231010278888373,24.460318936954906
60.0,0.6,0.5,solved,1,0.14056673279639223,18.503034665184565,-11.07580638816819,0.06386270652778592,11.342102562750682,60.34178798773862,15.528797357769074,52.65506763492532,60.99734552560513,68.77609142148978,19.980536622547085,13.069095204316271,10.21018835324422,17.100743748635225,26.863162193017658
60.0,0.9,0.5,solved,0,-0.025497980629305948,14.372583231337227,-7.21425904317088,0.0857938877249893,7.20762172323337,-0.033641488147509266,10.567548682138273,-5.864058667922194,-0.28093204688933326,5.3001547822038795,14.09489566842208,10.703193521791492,6.5640942975261485,11.16589756889983,18.48697401024899
60.0,0.9,0.5,solved,1,-0.06833702813181942,17.81005189536228,-11.712764645026859,-0.19264933608444323,11.50469860647975,61.347776524527134,17.84083480052913,51.60868628416511,61.84749707812125,71.55999053008193,21.42276489034208,12.798295222175005,11.84759854162229,19.1639794404913,28.812851165946746
90.0,0.3,0.5,solved,0,0.01122233518015182,19.021169258100915,-11.56074623468577,-0.08964962204697713,11.60998005821186,0.05562957538197263,16.07449057399548,-7.603833220633085,0.07924856189705326,7.623875865663999,20.272984815881195,13.90117024754485,10.048647928523321,16.921623457870485,27.078293050078894
90.0,0.3,0.5,solved,1,0.02393251798893916,18.47832078018752,-9.9326513923886,-0.0657004186625727,9.874996628429365,89.89267171153347,12.87308248186704,83.64168953835562,89.92417687713407,96.22772797767938,17.860114203424256,13.243776085209022,8.283160960037003,14.235499969218566,23.69190971153197
90.0,0.6,0.5,solved,0,0.08688346574965945,18.77267908173153,-10.087579317912926,0.09563644292764195,10.326829055854589,0.027793925638778017,13.65688033850128,-6.601704236877843,0.0578103360684139,6.75013982184161,18.499633860144613,13.500979074144444,8.749484959720093,14.888959104672743,24.511022258401553
90.0,0.6,0.5,solved,1,0.01984926443047176,19.243345020541373,-11.288670539190495,-0.04356320304417238,11.33120302874719,89.88683385533959,15.617686349101183,82.25211663535579,89.87775156294907,97.53440645979747,20.1184765626861,13.869025812411987,9.967510683317933,16.692055829926947,26.86686382194815
90.0,0.9,0.5,solved,0,-0.05138976403956207,15.616091908646476,-7.781804247547484,0.06577605801817299,7.996054047735285,0.12165131944501881,10.085782146741117,-4.621758994398988,0.1428519205379129,4.903007196706852,14.44280645628272,11.438613554511047,6.392740698526947,11.199467851247631,19.002659712106336
90.0,0.9,0.5,solved,1,-0.11757594033224987,18.572523097988356,-12.32633586288896,-0.061091410007946934,12.040677746001492,90.25246435810968,18.526224881563262,80.88053653027572,90.2720081851015,99.531021904135,21.908782404469225,13.898443540125268,11.606153858675771,19.032064247136333,29.26115119018484
